Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,Trust Factor,User_Attention
23:26:53,1094,91,35,82,0,1,1
23:26:54,1095,91,35,82,0,1,1
23:26:55,1096,91,34,82,0,1,1
23:26:56,1097,91,36,82,0,1,1
23:26:57,1098,91,37,82,0,1,1
23:26:58,1099,91,36,82,0,1,1
23:26:59,1100,91,36,82,0,1,1
23:27:00,1101,96,35,82,0,1,1
23:27:01,1102,96,38,82,0,1,1
23:27:02,1103,96,36,82,0,1,1
23:27:03,1104,96,35,82,0,1,1
23:27:04,1105,96,36,82,0,1,1
23:27:05,1106,96,35,82,0,1,1
23:27:06,1107,96,35,82,0,1,1
23:27:07,1108,96,36,82,0,1,1
23:27:08,1109,96,33,82,0,1,1
23:27:09,1110,96,36,82,0,1,1
23:27:10,1111,96,34,82,0,1,1
23:27:11,1112,96,35,82,0,1,1
23:27:12,1113,96,35,82,0,1,1
23:27:13,1114,96,31,82,0,1,1
23:27:14,1115,96,35,82,0,1,1
23:27:15,1116,96,32,82,0,1,1
23:27:16,1117,96,37,82,0,1,1
23:27:17,1118,96,34,82,0,1,1
23:27:18,1119,96,34,82,0,1,1
23:27:19,1120,96,38,82,0,1,1
23:27:20,1121,97,39,82,0,1,1
23:27:21,1122,97,38,82,0,1,1
23:27:22,1123,97,37,82,0,1,1
23:27:23,1124,97,36,82,0,1,1
23:27:24,1125,97,36,82,0,1,1
23:27:25,1126,97,36,82,0,1,1
23:27:26,1127,97,36,82,0,1,1
23:27:27,1128,97,36,82,0,1,1
23:27:28,1129,97,36,82,0,1,1
23:27:29,1130,97,37,82,0,1,1
23:27:30,1131,98,36,82,0,1,1
23:27:31,1132,98,34,82,0,1,1
23:27:32,1133,98,36,82,0,1,1
23:27:33,1134,98,37,82,0,1,1
23:27:34,1135,98,33,82,0,1,1
23:27:35,1136,98,39,82,0,1,1
23:27:36,1137,98,37,82,0,1,1
23:27:37,1138,98,37,82,0,1,1
23:27:38,1139,98,37,82,0,1,1
23:27:39,1140,98,33,82,0,1,1
23:27:40,1141,98,34,82,0,1,1
23:27:41,1142,98,36,82,0,1,1
23:27:42,1143,98,34,82,0,1,1
23:27:43,1144,98,36,82,0,1,1
23:27:44,1145,98,37,82,0,1,1
23:27:45,1146,98,38,82,0,1,1
23:27:46,1147,98,41,82,0,1,1
23:27:47,1148,98,40,82,0,1,1
23:27:48,1149,98,38,82,0,1,1
23:27:49,1150,98,36,82,0,1,1
23:27:50,1151,97,35,82,0,1,1
23:27:51,1152,97,38,82,0,1,1
23:27:52,1153,97,36,82,0,1,1
23:27:53,1154,97,35,82,0,1,1
23:27:54,1155,97,37,82,0,1,1
23:27:55,1156,97,36,82,0,1,1
23:27:56,1157,97,37,82,0,1,1
23:27:57,1158,97,36,82,0,1,1
23:27:58,1159,97,36,82,0,1,1
23:27:59,1160,99,36,82,0,1,1
23:28:00,1161,98,36,82,0,1,1
23:28:01,1162,98,38,82,0,1,1
23:28:02,1163,98,36,82,0,1,1
23:28:03,1164,98,35,82,0,1,1
23:28:04,1165,98,35,82,0,1,1
23:28:05,1166,98,36,82,0,1,1
23:28:06,1167,98,34,82,0,1,1
