Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention,Trust Factor
15:02:09,613,94,34,42,0,5,1
15:02:10,614,94,32,41,0,5,1
15:02:11,615,94,31,42,0,5,1
15:02:12,616,94,33,42,0,5,1
15:02:13,617,94,31,43,0,5,1
15:02:14,618,94,33,42,0,5,1
15:02:15,619,94,31,42,0,5,1
15:02:16,620,94,32,41,0,5,1
15:02:17,621,94,31,41,0,5,1
15:02:18,622,94,32,41,0,5,1
15:02:19,623,94,31,42,0,5,1
15:02:20,624,93,33,42,0,5,1
15:02:21,625,93,32,43,0,5,1
15:02:22,626,93,31,42,0,5,1
15:02:23,627,93,32,42,0,5,1
15:02:24,628,93,31,42,0,5,1
15:02:25,629,93,32,41,0,5,1
15:02:26,630,93,32,41,0,5,1
15:02:27,631,93,33,42,0,5,1
15:02:28,632,93,34,42,0,5,1
15:02:29,633,93,32,42,0,5,1
15:02:30,634,96,32,42,0,5,1
15:02:31,635,96,33,41,0,5,1
15:02:32,636,96,33,41,0,5,1
15:02:33,637,96,33,42,0,5,1
15:02:34,638,96,32,42,0,5,1
15:02:35,639,96,34,42,0,5,1
15:02:36,640,96,32,41,0,5,1
15:02:37,641,97,31,42,0,5,1
15:02:38,642,97,33,42,0,5,1
15:02:39,643,97,33,43,0,5,1
15:02:40,644,97,32,42,0,5,1
15:02:41,645,97,41,42,0,5,1
15:02:42,646,97,31,41,0,5,1
15:02:43,647,97,31,42,0,5,1
15:02:44,648,97,32,42,0,5,1
15:02:45,649,98,30,41,0,5,1
15:02:46,650,98,31,42,0,5,1
15:02:47,651,98,30,42,0,5,1
15:02:48,652,98,32,41,0,5,1
15:02:49,653,98,32,41,0,5,1
15:02:50,654,98,33,41,0,5,1
15:02:51,655,98,31,41,0,5,1
15:02:52,656,98,31,42,0,5,1
15:02:53,657,98,31,42,0,5,1
15:02:54,658,98,31,42,0,5,1
15:02:55,659,98,29,42,0,5,1
15:02:56,660,98,31,41,0,5,1
15:02:57,661,98,32,42,0,5,1
15:02:58,662,98,32,42,0,5,1
15:02:59,663,98,33,42,0,5,1
15:03:00,664,99,32,42,0,5,1
15:03:01,665,99,32,42,0,5,1
15:03:02,666,99,30,41,0,5,1
15:03:03,667,99,31,41,0,5,1
15:03:04,668,99,31,42,0,5,1
15:03:05,669,99,31,42,0,5,1
15:03:06,670,99,30,42,0,5,1
15:03:07,671,99,33,42,0,5,1
15:03:08,672,99,32,42,0,5,1
15:03:09,673,99,32,42,0,5,1
15:03:10,674,94,30,42,0,5,1
15:03:11,675,94,31,42,0,5,1
15:03:12,676,94,31,42,0,5,1
15:03:13,677,94,31,42,0,5,1
15:03:14,678,94,31,41,0,5,1
15:03:15,679,94,32,41,0,5,1
15:03:16,680,94,32,42,0,5,1
15:03:17,681,94,34,42,0,5,1
15:03:18,682,94,32,42,0,5,1
15:03:19,683,94,32,42,0,5,1
15:03:20,684,91,31,41,0,5,1
15:03:21,685,91,34,42,0,5,1
15:03:22,686,91,32,42,0,5,1
15:03:23,687,91,29,42,0,5,1
15:03:24,688,91,32,42,0,5,1
15:03:25,689,91,31,42,0,5,1
15:03:26,690,91,32,41,0,5,1
15:03:27,691,91,33,42,0,5,1
15:03:28,692,91,31,42,0,5,1
15:03:29,693,91,32,42,0,5,1
15:03:30,694,89,32,42,0,5,1
15:03:31,695,89,31,41,0,5,1
15:03:32,696,89,31,41,0,5,1
15:03:33,697,89,31,42,0,5,1
15:03:34,698,89,30,42,0,5,1
15:03:35,699,89,32,42,0,5,1
15:03:36,700,89,31,42,0,5,1
15:03:37,701,89,31,42,0,5,1
15:03:38,702,89,31,41,0,5,1
15:03:39,703,89,30,42,0,5,1
15:03:40,704,88,31,42,0,5,1
15:03:41,705,88,32,42,0,5,1
15:03:42,706,88,32,42,0,5,1
15:03:43,707,88,31,41,0,5,1
15:03:44,708,88,32,41,0,5,1
15:03:45,709,88,32,41,0,5,1
15:03:46,710,88,33,42,0,5,1
15:03:47,711,88,32,42,0,5,1
15:03:48,712,88,32,42,0,5,1
15:03:49,713,88,32,41,0,5,1
15:03:50,714,89,30,42,0,5,1
15:03:51,715,89,32,42,0,5,1
15:03:52,716,89,31,42,0,5,1
15:03:53,717,89,29,41,0,5,1
15:03:54,718,89,30,42,0,5,1
15:03:55,719,89,30,42,0,5,1
15:03:56,720,89,32,41,0,5,1
15:03:57,721,89,31,41,0,5,1
15:03:58,722,89,32,41,0,5,1
15:03:59,723,89,31,41,0,5,1
15:04:00,724,87,34,42,0,5,1
15:04:01,725,87,30,42,0,5,1
15:04:02,726,87,31,42,0,5,1
15:04:03,727,87,29,41,0,5,1
15:04:04,728,87,31,41,0,5,1
15:04:05,729,87,31,41,0,5,1
15:04:06,730,87,31,42,0,5,1
15:04:07,731,87,32,42,0,5,1
15:04:08,732,87,32,41,0,5,1
15:04:09,733,87,30,41,0,5,1
15:04:10,734,88,31,42,0,5,1
15:04:11,735,88,31,42,0,5,1
15:04:12,736,88,32,42,0,5,1
15:04:13,737,88,31,41,0,5,1
15:04:14,738,88,31,41,0,5,1
15:04:15,739,88,32,41,0,5,1
15:04:16,740,88,32,42,0,5,1
15:04:17,741,88,31,42,0,5,1
15:04:18,742,88,31,41,0,5,1
15:04:19,743,88,33,41,0,5,1
15:04:20,744,86,31,41,0,5,1
15:04:21,745,86,30,42,0,5,1
15:04:22,746,86,31,42,0,5,1
15:04:23,747,86,31,42,0,5,1
15:04:24,748,86,31,41,0,5,1
15:04:25,749,86,30,41,0,5,1
15:04:26,750,86,30,42,0,5,1
15:04:27,751,86,31,42,0,5,1
15:04:28,752,86,31,42,0,5,1
15:04:29,753,86,33,42,0,5,1
15:04:30,754,83,31,41,0,5,1
15:04:31,755,83,32,42,0,5,1
15:04:32,756,83,31,42,0,5,1
15:04:33,757,83,31,42,0,5,1
15:04:34,758,83,31,42,0,5,1
15:04:35,759,83,33,42,0,5,1
15:04:36,760,83,31,41,0,5,1
15:04:37,761,83,33,42,0,5,1
15:04:38,762,83,33,42,0,5,1
15:04:39,763,83,32,42,0,5,1
15:04:40,764,84,31,42,0,5,1
15:04:41,765,84,31,41,0,5,1
15:04:42,766,84,32,42,0,5,1
15:04:43,767,84,33,42,0,5,1
15:04:44,768,84,31,42,0,5,1
15:04:45,769,84,33,42,0,5,1
15:04:46,770,84,32,42,0,5,1
15:04:47,771,84,32,42,0,5,1
15:04:48,772,84,32,42,0,5,1
15:04:49,773,84,31,42,0,5,1
15:04:50,774,88,29,42,0,5,1
15:04:51,775,88,31,42,0,5,1
15:04:52,776,88,32,42,0,5,1
15:04:53,777,88,31,41,0,5,1
15:04:54,778,88,30,41,0,5,1
15:04:55,779,88,32,41,0,5,1
15:04:56,780,88,33,42,0,5,1
15:04:57,781,88,31,42,0,5,1
15:04:58,782,88,32,42,0,5,1
15:04:59,783,88,33,42,0,5,1
15:05:00,784,91,33,42,0,5,1
15:05:01,785,91,32,41,0,5,1
15:05:02,786,91,31,41,0,5,1
15:05:03,787,91,32,42,0,5,1
15:05:04,788,91,32,41,0,5,1
15:05:05,789,91,32,42,0,5,1
15:05:06,790,91,32,42,0,5,1
15:05:07,791,91,33,41,0,5,1
15:05:08,792,91,31,41,0,5,1
15:05:09,793,91,33,41,0,5,1
15:05:10,794,92,34,42,0,5,1
15:05:11,795,92,32,42,0,5,1
15:05:12,796,92,31,42,0,5,1
15:05:13,797,92,32,42,0,5,1
15:05:14,798,92,32,42,0,5,1
15:05:15,799,92,32,42,0,5,1
15:05:16,800,92,32,42,0,5,1
15:05:17,801,92,30,42,0,5,1
15:05:18,802,92,31,42,0,5,1
15:05:19,803,92,31,42,0,5,1
15:05:20,804,95,30,42,0,5,1
15:05:21,805,95,32,42,0,5,1
15:05:22,806,95,31,42,0,5,1
15:05:23,807,95,32,42,0,5,1
15:05:24,808,95,32,41,0,5,1
15:05:25,809,95,31,42,0,5,1
15:05:26,810,95,33,42,0,5,1
15:05:27,811,95,30,42,0,5,1
15:05:28,812,95,31,42,0,5,1
15:05:29,813,95,32,41,0,5,1
15:05:30,814,93,31,41,0,5,1
15:05:31,815,94,31,41,0,5,1
15:05:32,816,94,31,41,0,1,1
15:05:33,817,94,31,42,0,1,1
15:05:34,818,94,32,42,0,1,1
15:05:35,819,94,33,42,0,1,1
15:05:36,820,94,31,41,0,1,1
15:05:37,821,94,32,41,0,1,1
15:05:38,822,94,32,41,0,1,1
15:05:39,823,94,30,42,0,1,1
15:05:40,824,95,31,42,0,1,1
15:05:41,825,95,31,42,0,1,1
15:05:42,826,95,32,42,0,1,1
15:05:43,827,95,31,42,0,1,1
15:05:44,828,95,31,41,0,1,1
15:05:45,829,95,32,41,0,1,1
15:05:46,830,95,31,41,0,1,1
15:05:47,831,95,31,42,0,1,1
15:05:48,832,95,32,42,0,1,1
15:05:49,833,95,31,42,0,1,1
15:05:50,834,94,32,41,0,1,1
15:05:51,835,94,30,42,0,1,1
15:05:52,836,94,29,42,0,1,1
15:05:53,837,94,31,42,0,1,1
15:05:54,838,94,31,42,0,1,1
15:05:55,839,94,31,42,0,1,1
15:05:56,840,94,30,42,0,1,1
15:05:57,841,94,32,41,0,1,1
15:05:58,842,94,33,41,0,1,1
15:05:59,843,94,32,42,0,1,1
15:06:00,844,93,30,42,0,1,1
15:06:01,845,93,31,42,0,1,1
15:06:02,846,93,30,42,0,1,1
15:06:03,847,93,32,41,0,1,1
15:06:04,848,93,31,41,0,1,1
15:06:05,849,93,32,42,0,1,1
15:06:06,850,93,32,42,0,1,1
15:06:07,851,93,29,42,0,1,1
15:06:08,852,93,31,41,0,1,1
15:06:09,853,93,31,41,0,1,1
15:06:10,854,93,32,42,0,1,1
15:06:11,855,93,32,42,0,1,1
15:06:12,856,93,33,42,0,1,1
15:06:13,857,93,30,42,0,1,1
