LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (i),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
0.0306,-0.0176,-0.0333,45.4315,2,45.568,15:23:51:134
0.0194,0.0429,0.0013,45,2,31.046,15:23:52:134
0.0106,-0.0226,0.031,44,2,47.511,15:23:53:135
-0.0135,0.0054,0.0763,45.5813,2,41.427,15:23:54:134
0.0261,-0.013,-0.0258,45,2,39.283,15:23:55:136
0.0176,-0.0118,-0.0033,45,2,35.554,15:23:56:134
-0.0108,-0.0079,-0.0086,45.583,2,32.541,15:23:57:135
-0.0061,-0.0184,-0.0052,45.1589,2,42.364,15:23:58:135
-0.0226,-0.0259,0.0011,44.8385,2,38.115,15:23:59:135
0.0122,0.0036,0.0607,45,2,29.016,15:24:00:134
-0.0017,0.014,-0.0346,44.4256,2,29.436,15:24:01:137
-0.0249,0.0194,-0.0351,45.1581,2,28.281,15:24:02:134
-0.0314,0.0082,-0.0211,45,2,36.231,15:24:03:137
0.0014,0.012,0.0842,44,2,37.1,15:24:04:135
0.0259,0.0052,-0.0115,44,2,21.523,15:24:05:135
0.0015,0.0193,0.0237,44.5856,2,48.075,15:24:06:134
0.0151,-0.0508,-0.0432,45.4195,2,61.752,15:24:07:136
-0.0335,-0.0043,-0.0484,45.5796,2,51.299,15:24:08:135
-0.0141,0.0146,0.0102,44.8398,2,40.77,15:24:09:134
1.00E-04,0.0055,0.0098,45.5817,2,37.947,15:24:10:135
0.0156,-9.00E-04,-0.0654,44.5801,2,41.527,15:24:11:134
-0.0146,-0.0683,0.0283,46,2,51.701,15:24:12:133
0.0153,-0.0413,-0.0467,44.431,2,38.436,15:24:13:134
0.0142,-0.0015,0.0216,45,2,51.24,15:24:14:134
0.0105,0.0234,-0.0464,45.5682,2,53.776,15:24:15:134
-0.0432,-0.007,0.0797,44.428,2,52.553,15:24:16:134
-6.00E-04,0.0172,-0.0186,44.4271,2,44.231,15:24:17:135
0.0099,-0.0119,-0.0295,44.8373,2,46.651,15:24:18:134
-0.0158,0.052,-0.0248,44.5784,2,43.538,15:24:19:135
-0.0247,0.0091,-0.0596,44.4198,2,37.418,15:24:20:135
0.0379,0.0236,0.0042,44.5812,2,39.582,15:24:21:136
-0.0114,0.0359,0.0106,45.4231,2,48.236,15:24:22:136
0.0111,0.0304,-0.0128,44.5795,2,40.488,15:24:23:134
-0.0468,0.0281,-0.0097,44.5656,2,46.573,15:24:24:134
-0.033,-0.0035,0.0258,44.4335,2,40.051,15:24:25:134
0.0265,0.0375,-0.0073,45.1318,2,45.213,15:24:26:134
-0.0443,-0.0378,0.0216,44.5821,2,51.031,15:24:27:136
-0.0272,0.0313,-0.032,45,2,68.648,15:24:28:133
0.0014,0.0264,-0.0582,45,2,60.809,15:24:29:135
0.001,0.0286,-0.0013,44.4194,2,53.262,15:24:30:134
0.0115,-0.004,-0.0556,44.5758,2,66.084,15:24:31:135
-0.0507,0.0104,0.0065,44.5804,2,61.687,15:24:32:134
0.0166,-0.0086,0.0168,44.5808,2,50.406,15:24:33:134
0.0013,0.0119,0.0247,44.4213,2,51.175,15:24:34:136
-0.0503,-0.0205,0.0312,44.4212,2,56.176,15:24:35:136
0.0068,-0.0021,0.0563,45,2,56.344,15:24:36:136
-0.0172,0.015,-0.0118,44.4026,2,70.918,15:24:37:134
0.0057,0.0278,-0.0103,45,2,38.412,15:24:38:135
0.0116,0.0215,-0.0522,44.4185,2,43.215,15:24:39:134
0.0097,-0.0156,0.0283,44.8468,2,47.921,15:24:40:135
-0.0223,0.0118,-0.036,44.5794,2,54.444,15:24:41:134
-0.0342,0.0237,-0.0073,45.1538,2,33.502,15:24:42:133
-0.0406,-0.0016,0.0617,45.1617,2,27.949,15:24:43:135
0.0204,0.0165,-0.0444,45.4191,2,29.586,15:24:44:137
-0.0331,0.0118,0.0313,44.4205,2,37.059,15:24:45:135
-0.0017,0.0418,-0.0828,44.8368,2,66.133,15:24:46:134
-0.0153,0.0219,-0.0207,44.4163,2,60.872,15:24:47:134
0.018,-0.0079,0.0301,45,2,61.618,15:24:48:137
-0.0077,0.0094,-0.0441,45.1582,2,65.053,15:24:49:135
-0.0034,-0.0402,0.0676,44.4173,2,68.226,15:24:50:134
0.0374,0.0063,-0.0084,45.5805,2,42.807,15:24:51:135
0.0067,0.0129,0.0303,44.4174,2,23.414,15:24:52:134
-0.0106,0.0288,0.0143,45.5772,2,52.104,15:24:53:134
-0.0125,-0.0556,-0.0452,44.4185,2,24.212,15:24:54:134
-0.0091,0.0141,-0.0342,44.1632,2,39.036,15:24:55:135
0.0351,-0.0091,0.0747,25.0979,2,32.841,15:24:56:135
0.01,0.0094,0.0437,35.0972,2,51.668,15:24:57:136
0.0383,-0.0134,0.0255,43,2,32.863,15:24:58:134
-0.0157,-0.012,0.0434,44.5791,2,61.904,15:24:59:134
-0.0122,-0.0311,-0.0589,44.4184,2,60.072,15:25:00:134
0.0146,-0.0369,0.0283,44.5682,2,61.746,15:25:01:134
0.0309,0.0839,-0.0389,45,2,60.547,15:25:02:134
-0.0071,-0.0102,0.0297,45.4239,2,59.965,15:25:03:135
-0.0216,-0.0199,0.0491,45,2,18.176,15:25:04:133
-0.0263,-0.0272,0.0414,44.419,2,20.172,15:25:05:135
-0.02,-0.0244,0.0198,44.8321,2,36.996,15:25:06:136
5.00E-04,0.0214,-0.0667,44.4209,2,23.151,15:25:07:135
-0.0151,-0.0721,-0.0021,44.8375,2,41.888,15:25:08:134
0.0046,0.0179,0.02,45.579,2,41.417,15:25:09:134
-0.0313,-9.00E-04,-0.0259,45,2,38.995,15:25:10:134
-0.0083,0.0046,0.0476,45,2,55.842,15:25:11:138
0.0194,-0.007,0.0209,45,2,54.787,15:25:12:135
0.0108,-0.0403,0.0341,45.5721,2,47.175,15:25:13:134
0.0275,-0.0051,-0.0288,45.422,2,47.018,15:25:14:134
-0.0549,0.0243,-0.0054,45.5851,2,40.464,15:25:15:134
0.008,0.0102,-0.0416,45.432,2,38.257,15:25:16:133
0.0126,0.0037,-0.0256,45.5823,2,27.884,15:25:17:134
0.0121,0.0185,0.0598,45.5997,2,34.164,15:25:18:135
3.00E-04,-0.0302,-0.0023,44.4186,2,44.326,15:25:19:134
0.0096,-0.0448,0.0044,44.5913,2,35.081,15:25:20:135
0.0032,0.0157,0.0359,45.5806,2,37.787,15:25:21:135
7.00E-04,7.00E-04,0.0203,44.4242,2,37.345,15:25:22:135
-0.0081,0.0082,0.1278,44.8378,2,35.342,15:25:23:134
-0.005,0.0236,-0.0247,44.5897,2,36.368,15:25:24:135
-0.0203,0.0516,0.0614,44.4174,2,35.594,15:25:25:135
-0.0177,0.0095,-0.0533,44.418,2,38.399,15:25:26:135
0.0364,0.0043,-0.0638,44.4325,2,33.18,15:25:27:133
0.0182,0.0058,-0.0339,44.5789,2,35.793,15:25:28:135
-0.0076,0.0107,0.0079,44.5723,2,33.989,15:25:29:137
-0.0196,-0.0318,-0.0421,44.5678,2,31.804,15:25:30:134
0.0082,-0.0229,-0.0063,44.8448,2,37.494,15:25:31:134
0.0098,0.0053,-0.0764,45.1635,2,36.446,15:25:32:134
-0.0027,-0.0374,0.0081,45.1674,2,30.068,15:25:33:134
-0.0162,-0.0043,0.0821,44.5826,2,43.691,15:25:34:134
0.0024,-0.0108,-0.0598,45,2,29.567,15:25:35:136
0.0264,0.0073,-0.0139,45.1594,2,38.559,15:25:36:134
-0.0034,-0.0245,-0.008,44,2,28.684,15:25:37:136
0.009,0.0566,0.003,44.5806,2,31.475,15:25:38:138
0.0336,0.003,-0.0138,45,2,31.712,15:25:39:136
0.0187,0.0053,0.0175,44.4176,2,33.814,15:25:40:135
1.00E-04,-0.0425,-0.0169,44.4211,2,31.576,15:25:41:135
0.032,-0.0098,-0.0108,45.5881,2,37.696,15:25:42:134
0.0041,-0.0059,0.0386,45.1576,2,38.155,15:25:43:134
0.0388,-0.0305,0.047,44.5972,2,44.457,15:25:44:134
-0.0051,0.0044,0.0284,44.5817,2,27.289,15:25:45:134
0.0096,0.0047,0.0131,44.8402,2,53.136,15:25:46:134
0.0018,-6.00E-04,0.0515,44.4243,2,51.859,15:25:47:135
0.0126,0.0077,-0.0052,44.8652,2,48.839,15:25:48:134
0.0145,-0.0048,-0.0686,44.4303,2,37.204,15:25:49:134
-0.032,-0.0092,-0.0218,45.1377,2,59.602,15:25:50:134
0.0047,0.0275,-0.0322,44.5803,2,27.139,15:25:51:134
-0.0028,-0.0017,0.0209,44.427,2,16.811,15:25:52:134
-0.003,-0.0103,-0.0932,45.1339,2,26.628,15:25:53:135
0.003,0.0317,-0.037,45,2,30.286,15:25:54:133
-0.0135,0.0144,-0.0087,44.8439,2,34.164,15:25:55:134
6.00E-04,-0.0258,0.0048,44.853,2,32.401,15:25:56:134
-0.007,-0.004,0.0264,44.4297,2,37.208,15:25:57:134
0.0351,-0.0028,-0.0099,45.5718,2,36.131,15:25:58:134
0.0075,-0.0187,-0.0628,45.1554,2,29.961,15:25:59:134
-0.0189,-0.021,-0.0458,44.8621,2,33.25,15:26:00:133
0.0169,0.0176,-0.0086,44.8374,2,32.855,15:26:01:135
0.0027,-0.0107,0.0446,44,2,35.619,15:26:02:134
0.0227,-0.0382,0.0032,45.1559,2,34.454,15:26:03:134
0.03,0.0214,0.0355,45.5776,2,34.919,15:26:04:135
0.0069,-0.019,-0.0528,45.1487,2,36.335,15:26:05:134
0.0238,-0.0264,0.0232,44.8407,2,35.72,15:26:06:136
-0.0125,-0.0206,-0.0441,45.4041,2,35.181,15:26:07:134
0.0195,-0.0063,-0.0042,45.5812,2,35.246,15:26:08:135
0.0269,-0.0218,0.0156,45.5885,2,32.068,15:26:09:134
-0.0028,-0.02,-0.0546,44.8404,2,33.254,15:26:10:134
-0.011,0.0601,0.0208,45.4199,2,33.958,15:26:11:134
0.0292,0.0012,0.061,44.8646,2,39.244,15:26:12:134
0.0192,0.0515,-0.0385,45.4249,2,50.513,15:26:13:135
0.0211,0.0238,0.0402,45.5722,2,16.837,15:26:14:134
0.0291,-0.0142,0.0098,45.1538,2,55.442,15:26:15:134
-0.0135,0.0397,-0.0202,44.8538,2,57.373,15:26:16:134
-0.0071,-0.0329,-0.0292,45.136,2,57.934,15:26:17:135
-0.0196,0.0139,0.0141,46,2,15.898,15:26:18:135
-0.0132,-8.00E-04,-0.0154,45.4281,2,54.112,15:26:19:134
-0.0231,-0.023,-0.0371,45.4251,2,56.336,15:26:20:135
-0.0166,-0.0035,0.0507,45.4265,2,50.667,15:26:21:133
0.0041,0.0073,0.0544,45.5752,2,51.708,15:26:22:134
-0.0171,-0.0071,0.0112,45.4196,2,58.031,15:26:23:134
0.0222,0.0108,-0.0868,45.5722,2,61.408,15:26:24:134
-0.0111,0.0123,-0.0177,45.5771,2,52.533,15:26:25:134
-0.006,-0.0315,0.0573,45.5767,2,44.948,15:26:26:134
-0.0345,0.0316,0.0077,45.4279,2,55.55,15:26:27:134
-0.0215,0.0254,-0.0349,45.4187,2,63.867,15:26:28:135
-0.0121,-0.0253,0.0131,45.5765,2,72.025,15:26:29:134
-0.0261,-0.005,0.0073,45.4244,2,67.447,15:26:30:134
0.0351,-0.0271,-0.0163,45.4239,2,68.138,15:26:31:134
0.0042,0.0055,-0.003,45.579,2,66.892,15:26:32:134
-0.0419,-8.00E-04,-0.0426,45.5747,2,66.848,15:26:33:135
-8.00E-04,9.00E-04,0.0481,45.5736,2,63.209,15:26:34:134
-0.0402,-0.0588,-3.00E-04,45,2,59.9,15:26:35:135
-0.0407,-0.0106,-0.0532,45.4244,2,63.092,15:26:36:134
0.0115,0.0037,-0.0234,45.5681,2,62.678,15:26:37:134
-0.0323,0.0185,-0.0227,45.4191,2,66.524,15:26:38:134
-0.0296,-0.0215,-0.0118,45.5731,2,67,15:26:39:135
0.0242,-0.0118,0.0367,45.5739,2,62.935,15:26:40:135
-0.0093,-0.0184,-0.0102,45.4255,2,62.604,15:26:41:134
0.0449,0.0028,0.025,45.4325,2,64.38,15:26:42:134
-0.0181,0.0032,-0.0376,46.5822,2,63.126,15:26:43:137
0.0091,-0.0171,0.0452,45.4253,2,62.231,15:26:44:135
-0.0075,-0.0012,0.0326,45.5903,2,63.721,15:26:45:134
0.0327,0.0165,-0.034,45.4234,2,67.385,15:26:46:134
0.0194,0.0245,-0.006,46,2,63.697,15:26:47:134
-0.0045,0.0141,0.0062,46.4244,2,69.36,15:26:48:135
-0.0227,0.0296,-0.0289,45.8302,2,69.364,15:26:49:134
0.0129,0.0049,0.0068,46.4199,2,69.329,15:26:50:135
0.0108,6.00E-04,0.0362,46.4194,2,62.862,15:26:51:134
0.0064,0.0127,0.0468,46,2,67.648,15:26:52:133
0.015,0.0039,-0.0029,46.4162,2,68.01,15:26:53:135
-0.0153,-0.028,0.0249,46.4197,2,69.605,15:26:54:134
-0.0049,0.0577,-0.0248,47,2,67.684,15:26:55:134
0.0372,-0.0328,-0.0106,46.4197,2,66.164,15:26:56:135
-0.0109,-0.0314,-0.0656,46.5759,2,70.117,15:26:57:134
-0.0121,-0.0136,-0.004,46.5809,2,69.959,15:26:58:135
0.0038,0.0219,0.0512,46.4192,2,70.647,15:26:59:135
0.0029,0.0029,-0.0231,46.419,2,58.622,15:27:00:134
0.022,0.0047,-0.01,47.5832,2,69.404,15:27:01:135
-0.023,0.0108,-0.0059,47,2,67.856,15:27:02:134
-0.0067,-0.0023,0.0392,46.4209,2,64.483,15:27:03:134
0.0136,0.0021,-0.0305,47,2,58.747,15:27:04:134
0.0072,0.0135,0.0267,46.4273,2,63.315,15:27:05:135
-0.0254,-0.0255,-0.0018,47,2,62.565,15:27:06:134
0.0045,0.0056,-0.0339,46.427,2,64.245,15:27:07:133
0.0119,0.0017,0.0168,46,2,64.575,15:27:08:135
0.008,-0.0161,0.0232,46.5771,2,64.619,15:27:09:134
0.0187,0.0093,-0.0264,46.4286,2,63.47,15:27:10:134
-0.0035,-6.00E-04,0.0529,45.8538,2,64.528,15:27:11:134
-0.024,0.0029,0.0513,46.4245,2,65.521,15:27:12:134
-0.0233,-0.0095,0.0093,46.5772,2,66.587,15:27:13:133
0.0214,-0.0165,-0.0343,46,2,68.262,15:27:14:134
0.0115,-0.0041,0.053,46.4193,2,66.826,15:27:15:134
0.0103,0.0237,-0.0268,46.4303,2,67.899,15:27:16:134
0.003,-0.0026,0.0036,46.4223,2,68.741,15:27:17:134
-0.0432,0.0343,-0.009,46.5729,2,59.445,15:27:18:134
0.0196,-0.0021,0.0828,46.4236,2,72.133,15:27:19:134
0.0208,-0.0194,0.0048,46.5766,2,67.095,15:27:20:134
-0.043,0.0175,-0.1027,46.4259,2,66.578,15:27:21:134
-0.0253,0.0096,0.0251,46.4198,2,70.506,15:27:22:134
0.0237,-2.00E-04,-0.0067,46.4287,2,68.503,15:27:23:134
0.0122,0.0189,-0.0357,47,2,71.166,15:27:24:134
0.0174,-0.0477,-0.0549,47,2,53.41,15:27:25:135
-0.03,0.0404,0.0039,46.1747,2,71.068,15:27:26:135
-0.0135,-0.0129,-0.0091,46.4268,2,68.96,15:27:27:134
-0.0117,0.0218,0.0371,46.4187,2,69.636,15:27:28:135
-0.0228,-0.0035,0.008,46.5803,2,62.395,15:27:29:135
0.0208,-0.0079,-0.0975,46.4206,2,64.944,15:27:30:134
0.0302,0.0121,-0.023,46.5813,2,66.992,15:27:31:134
-0.0033,0.0012,-0.0417,46.4273,2,70.204,15:27:32:134
0.0075,0.0334,0.0033,46.8177,2,65.851,15:27:33:135
-0.0063,-0.009,0.0216,47,2,69.08,15:27:34:135
-0.0178,-0.0107,-9.00E-04,46.4187,2,65.877,15:27:35:134
0.0059,-0.0672,-0.1274,46.4181,2,70.309,15:27:36:135
0.0098,0.0493,0.0301,45.8535,2,63.896,15:27:37:134
0.0038,-0.0354,-0.0042,46.8382,2,73.024,15:27:38:135
-0.0306,0.0603,-0.0141,47,2,67.854,15:27:39:135
-0.0186,0.0146,-0.0027,46.3996,2,71.237,15:27:40:137
0.013,-0.0358,-0.0027,47,2,67.959,15:27:41:134
-0.0049,0.0081,-0.0075,46.8668,2,74.262,15:27:42:133
-0.0244,0.0085,0.0037,47,2,69.494,15:27:43:135
-0.0031,-0.0469,0.0117,47,2,70.564,15:27:44:135
-0.0195,0.0237,-0.0192,47.1628,2,51.026,15:27:45:136
-0.0204,-0.0193,0.0227,46,2,67.289,15:27:46:134
0.0255,0.0101,-0.0541,46.8238,2,64.742,15:27:47:135
-0.024,0.0304,0.0011,47.4194,2,60.959,15:27:48:134
-0.0238,-0.0035,0.0928,47.5826,2,58.153,15:27:49:136
0.0139,0.0232,-0.0384,46.4173,2,63.746,15:27:50:136
-0.0263,0.0136,0.0364,47,2,65.32,15:27:51:135
-0.0034,-0.0097,-0.0685,47.5776,2,60.923,15:27:52:134
0.0013,0.0193,0.0343,46.8409,2,66.523,15:27:53:134
-0.0091,-0.0095,0.0077,47.5817,2,62.613,15:27:54:134
0.0038,0.0051,-0.0948,47.5831,2,51.137,15:27:55:136
0.0178,-0.0065,0.0054,46.4203,2,56.606,15:27:56:135
-0.0138,-0.0011,-0.0097,47.5802,2,65.04,15:27:57:135
-0.0224,0.0076,0.0081,47.5875,2,64.394,15:27:58:134
0.0161,0.0092,-0.0053,47.419,2,59.978,15:27:59:134
-0.027,-0.0229,0.0176,46.8265,2,65.607,15:28:00:135
-0.0328,-0.02,0.0146,47.4103,2,64.38,15:28:01:134
-0.0095,0.0114,-0.0623,47.422,2,64.018,15:28:02:134
-0.0194,-0.0279,0.0504,48,2,67.647,15:28:03:135
0.0059,-0.008,-0.0459,47.1606,2,69.394,15:28:04:136
0.0349,-0.0365,0.0455,46.838,2,70.96,15:28:05:135
0.0063,-0.0115,-0.0174,46.5806,2,67.767,15:28:06:134
-0.0089,0.0297,-0.0845,46.4183,2,64.304,15:28:07:134
-0.0074,-0.038,0.0309,47,2,66.652,15:28:08:135
0.0138,0.014,-0.0263,46,2,67.228,15:28:09:136
-0.0096,0.0164,-0.0157,48,2,70.465,15:28:10:134
-0.034,0.0158,0.0324,47.16,2,65.432,15:28:11:136
0.0257,0.0054,0.0504,46.8628,2,69.012,15:28:12:133
0.028,0.0013,0.0087,47.5815,2,68.295,15:28:13:134
-0.049,8.00E-04,0.0895,46.8662,2,69.667,15:28:14:135
-0.017,0.0199,0.0656,47.5915,2,62.257,15:28:15:136
0.0123,0.0048,-0.0226,47.1668,2,68.7,15:28:16:135
-0.0103,-0.0282,-0.006,47.5878,2,67.053,15:28:17:134
6.00E-04,-0.0227,0.0295,47.1491,2,64.201,15:28:18:135
