Heart_Rate,Sound,Light,Phone_Active,User_Attention
98,32,42,0,4
98,31,42,0,4
98,33,41,0,4
98,32,41,0,4
98,33,42,0,4
98,33,42,0,4
98,33,42,0,4
98,33,42,0,4
98,32,42,0,4
98,32,41,0,4
98,31,42,0,4
98,30,42,0,4
98,33,42,0,4
98,33,41,0,4
98,32,42,0,4
98,32,42,0,4
98,32,42,0,4
98,34,42,0,4
98,32,42,0,4
98,32,42,0,4
98,32,41,0,4
98,32,42,0,4
98,33,42,0,4
98,31,42,0,4
98,32,42,0,4
98,34,42,0,4
98,32,42,0,4
98,34,42,0,4
98,37,42,0,4
98,41,42,0,4
98,33,41,0,4
98,32,43,0,4
98,31,42,0,4
98,32,42,0,4
98,34,41,0,4
98,32,42,0,4
98,31,41,0,4
98,32,42,0,4
98,34,42,0,4
98,32,42,0,4
98,32,42,0,4
98,32,43,0,4
98,32,41,0,4
98,32,42,0,4
98,34,41,0,4
98,34,42,0,4
98,34,42,0,4
98,35,42,0,4
98,34,42,0,4
98,34,41,0,4
98,33,42,0,4
98,33,42,0,4
98,34,41,0,4
98,33,43,0,4
98,32,42,0,4
98,34,42,0,4
98,32,42,0,4
98,35,41,0,4
98,32,42,0,4
98,32,42,0,4
98,31,42,0,4
98,32,41,0,4
98,33,42,0,4
98,39,42,0,4
98,39,42,0,4
98,37,42,0,4
98,32,41,0,4
98,36,42,0,5
98,38,42,0,5
98,40,41,0,5
98,40,43,0,5
98,40,41,0,5
98,40,41,0,5
98,41,42,0,5
98,39,42,0,5
98,40,43,0,5
98,41,42,0,5
98,50,42,0,5
97,45,41,0,5
97,41,41,0,5
97,42,42,0,5
97,42,42,0,5
97,41,42,0,5
97,42,43,0,5
97,42,42,0,5
97,43,42,0,5
97,38,42,0,5
97,34,42,0,5
97,44,41,0,5
97,41,43,0,5
97,45,42,0,5
97,38,42,0,5
97,42,42,0,5
97,43,42,0,5
97,45,43,0,5
97,46,42,0,5
97,45,41,0,5
97,50,42,0,5
98,49,42,0,5
98,48,42,0,5
98,46,41,0,5
98,50,42,0,5
98,49,41,0,5
98,49,42,0,5
98,37,42,0,5
98,44,42,0,5
98,47,42,0,5
98,48,43,0,5
100,42,42,0,5
100,48,41,0,5
100,48,42,0,5
100,44,42,0,5
100,42,42,0,5
100,47,42,0,5
100,43,42,0,5
100,43,42,0,5
100,39,42,0,5
100,44,42,0,5
98,41,42,0,5
98,46,42,0,5
98,45,41,0,5
98,47,42,0,5
98,47,42,0,5
98,48,43,0,5
98,47,42,0,5
98,48,42,0,5
98,47,42,0,5
98,51,41,0,5
98,46,42,0,5
98,41,42,0,5
98,47,42,0,5
98,47,43,0,5
98,49,42,0,5
98,42,42,0,5
98,49,42,0,5
98,47,42,0,5
98,51,42,0,5
98,42,41,0,5
93,47,41,0,5
93,47,41,0,5
93,48,41,0,5
93,49,41,0,5
93,45,42,0,5
93,44,42,0,5
93,49,42,0,5
93,43,42,0,5
93,49,42,0,5
93,46,42,0,5
94,48,42,0,5
94,46,42,0,5
94,50,42,0,5
94,45,41,0,5
94,46,41,0,5
94,41,41,0,5
94,39,41,0,5
94,37,41,0,5
94,40,42,0,5
94,40,42,0,5
97,42,42,0,5
97,39,42,0,5
97,39,42,0,5
97,38,42,0,5
97,35,42,0,5
97,39,42,0,5
97,42,42,0,5
97,42,42,0,5
97,38,42,0,5
97,35,42,0,5
99,43,41,0,5
99,45,41,0,5
99,43,41,0,5
99,42,42,0,5
99,48,42,0,5
99,47,42,0,5
99,46,42,0,5
99,45,42,0,5
99,44,42,0,5
99,45,42,0,5
99,45,42,0,5
99,37,42,0,5
99,43,41,0,5
99,45,41,0,5
99,44,42,0,5
99,40,42,0,5
99,46,42,0,5
99,46,42,0,5
99,44,42,0,5
99,38,42,0,5
96,43,43,0,5
96,40,42,0,5
96,41,42,0,5
96,39,42,0,5
96,41,42,0,5
96,40,42,0,5
96,43,41,0,5
96,42,41,0,5
96,45,42,0,5
96,46,42,0,5
96,46,42,0,5
96,45,42,0,5
96,46,42,0,5
96,47,41,0,5
96,41,41,0,5
96,33,42,0,5
96,31,42,0,5
96,31,42,0,5
96,32,42,0,5
96,32,42,0,5
97,33,41,0,5
97,33,41,0,5
97,32,42,0,5
97,34,42,0,5
97,33,42,0,5
97,32,42,0,5
97,33,42,0,5
97,32,41,0,5
97,32,41,0,5
97,34,42,0,5
98,32,42,0,5
98,34,42,0,5
98,32,42,0,5
98,34,42,0,5
98,34,42,0,5
98,31,42,0,5
98,32,42,0,5
98,31,41,0,5
98,31,42,0,5
98,30,42,0,5
99,32,42,0,5
99,31,42,0,5
99,32,42,0,5
99,31,42,0,5
99,32,42,0,5
99,42,42,0,5
99,39,41,0,5
99,41,41,0,5
99,38,41,0,5
99,41,42,0,5
95,40,42,0,5
95,43,42,0,5
95,44,42,0,5
95,40,42,0,5
95,43,42,0,5
95,44,42,0,5
95,42,42,0,5
95,47,41,0,5
95,42,42,0,5
95,44,42,0,5
92,45,42,0,5
92,41,42,0,5
92,42,42,0,5
92,43,42,0,5
92,42,42,0,5
92,41,42,0,5
92,41,42,0,5
92,43,42,0,5
92,42,42,0,5
92,46,42,0,5
88,38,42,0,5
88,37,42,0,5
88,42,42,0,5
88,38,42,0,5
88,42,42,0,5
88,38,42,0,5
88,43,42,0,5
88,37,42,0,5
88,42,42,0,5
88,39,42,0,5
88,43,42,0,5
88,41,42,0,5
88,40,42,0,5
88,36,42,0,5
88,41,42,0,5
88,37,42,0,5
88,46,41,0,5
88,42,41,0,5
88,43,41,0,5
88,40,41,0,5
88,39,42,0,5
88,42,42,0,5
88,42,42,0,5
88,41,42,0,5
88,38,42,0,5
88,45,42,0,5
88,38,42,0,5
88,37,42,0,5
88,41,42,0,5
88,38,42,0,5
86,38,42,0,5
86,46,42,0,5
86,38,42,0,5
86,32,42,0,5
86,37,42,0,5
86,35,42,0,5
86,43,41,0,5
86,44,41,0,5
86,42,41,0,5
86,40,42,0,5
84,45,42,0,5
84,37,42,0,5
84,38,42,0,5
84,35,41,0,5
84,38,41,0,5
84,39,42,0,5
84,41,42,0,5
84,40,42,0,5
84,39,43,0,5
84,38,42,0,5
87,39,42,0,5
87,38,41,0,5
87,41,42,0,5
87,37,42,0,5
87,42,42,0,5
87,39,42,0,5
87,42,43,0,5
87,41,42,0,5
87,45,42,0,5
87,38,42,0,5
87,42,42,0,5
87,41,42,0,5
87,41,41,0,5
87,44,41,0,5
87,43,42,0,5
87,44,42,0,5
87,42,42,0,5
87,39,41,0,5
87,39,41,0,5
87,41,41,0,5
94,45,42,0,5
94,38,42,0,5
94,43,42,0,5
94,45,42,0,5
94,41,42,0,5
94,42,42,0,5
94,44,41,0,5
94,43,42,0,5
94,41,42,0,5
94,35,42,0,5
94,41,42,0,5
94,40,42,0,5
94,44,42,0,5
94,42,42,0,5
94,44,42,0,5
94,42,42,0,5
94,44,42,0,5
94,43,43,0,5
94,39,42,0,5
94,45,42,0,5
