Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active
18:05:12,561,77,44,13,0
18:05:13,562,76,45,13,0
18:05:14,563,76,46,13,0
18:05:15,564,77,49,13,0
18:05:16,565,77,53,13,0
18:05:17,566,77,48,13,0
18:05:18,567,73,46,13,0
18:05:19,568,73,48,13,0
18:05:20,569,73,49,13,0
18:05:21,570,73,48,13,0
18:05:22,571,73,45,13,0
18:05:23,572,73,43,13,0
18:05:24,573,73,49,13,0
18:05:25,574,73,49,13,0
18:05:26,575,73,48,13,0
18:05:27,576,70,39,13,0
18:05:28,577,70,41,13,0
18:05:29,578,70,48,13,0
18:05:30,579,73,48,13,0
18:05:31,580,73,49,13,0
18:05:32,581,73,47,13,0
18:05:33,582,76,45,13,0
18:05:34,583,76,47,13,0
18:05:35,584,76,41,13,0
18:05:36,585,76,40,13,0
18:05:37,586,76,47,13,0
18:05:38,587,76,49,13,0
18:05:39,588,79,44,13,0
18:05:40,589,80,48,13,0
18:05:41,590,80,45,13,0
18:05:42,591,80,40,13,0
18:05:43,592,85,49,13,0
18:05:44,593,85,44,13,0
18:05:45,594,85,45,13,0
18:05:46,595,82,46,13,0
18:05:47,596,82,42,13,0
18:05:48,597,82,51,13,0
18:05:49,598,64,47,13,0
18:05:50,599,64,49,13,0
18:05:51,600,64,46,13,0
18:05:52,601,64,45,13,0
18:05:53,602,64,45,13,0
18:05:54,603,64,49,13,0
18:05:55,604,59,50,13,0
18:05:56,605,59,49,13,0
18:05:57,606,59,49,13,0
18:05:58,607,59,51,13,0
18:05:59,608,59,46,13,0
18:06:00,609,59,49,13,0
18:06:01,610,59,48,13,0
18:06:02,611,59,33,13,0
18:06:03,612,59,33,13,0
18:06:04,613,59,39,13,0
18:06:05,614,59,38,13,0
18:06:06,615,61,45,13,0
18:06:07,616,61,38,13,0
18:06:08,617,61,41,13,0
18:06:09,618,61,41,13,0
18:06:10,619,62,46,13,0
18:06:11,620,62,47,13,0
18:06:12,621,62,48,13,0
18:06:13,622,62,46,13,0
18:06:14,623,62,45,13,0
18:06:15,624,62,44,13,0
18:06:16,625,63,43,13,0
18:06:17,626,63,41,13,0
18:06:18,627,63,41,13,0
18:06:19,628,63,42,13,0
18:06:20,629,62,46,13,0
18:06:21,630,62,45,13,0
18:06:22,631,62,49,13,0
18:06:23,632,62,35,13,0
18:06:24,633,62,44,13,0
18:06:25,634,62,51,13,0
18:06:26,635,62,53,13,0
18:06:27,636,62,49,13,0
18:06:28,637,62,45,13,0
18:06:29,638,62,49,13,0
18:06:30,639,62,45,13,0
18:06:31,640,62,46,13,0
18:06:32,641,62,50,13,0
18:06:33,642,64,46,13,0
18:06:34,643,64,45,13,0
18:06:35,644,64,44,13,0
18:06:36,645,66,44,13,0
18:06:37,646,66,50,13,0
18:06:38,647,66,48,13,0
18:06:39,648,65,48,13,0
18:06:40,649,65,47,13,0
18:06:41,650,65,46,13,0
18:06:42,651,65,45,13,0
18:06:43,652,62,48,13,0
18:06:44,653,62,46,13,0
18:06:45,654,62,47,13,0
18:06:46,655,63,47,13,0
18:06:47,656,63,49,13,0
18:06:48,657,63,45,13,0
18:06:49,658,63,48,13,0
18:06:50,659,61,48,13,0
18:06:51,660,61,49,13,0
18:06:52,661,61,43,13,0
18:06:53,662,61,47,13,0
18:06:54,663,61,48,13,0
18:06:55,664,61,47,13,0
18:06:56,665,60,50,13,0
18:06:57,666,60,50,13,0
18:06:58,667,60,48,13,0
18:06:59,668,60,46,13,0
18:07:00,669,60,47,13,0
18:07:01,670,60,48,13,0
18:07:02,671,62,48,13,0
18:07:03,672,62,46,13,0
18:07:04,673,62,46,13,0
18:07:05,674,62,50,13,0
18:07:06,675,62,49,13,0
18:07:07,676,62,48,13,0
18:07:08,677,62,46,13,0
18:07:09,678,59,46,13,0
18:07:10,679,59,45,13,0
18:07:11,680,59,48,13,0
18:07:12,681,59,45,13,0
18:07:13,682,59,45,13,0
18:07:14,683,59,49,13,0
18:07:15,684,59,48,13,0
18:07:16,685,59,45,13,0
18:07:17,686,59,45,13,0
18:07:18,687,59,43,13,0
18:07:19,688,59,48,13,0
18:07:20,689,95,51,13,0
18:07:21,690,95,46,13,0
18:07:22,691,95,44,13,0
18:07:23,692,105,46,13,0
18:07:24,693,105,49,13,0
18:07:25,694,76,36,13,0
18:07:26,695,76,45,13,0
18:07:27,696,76,39,13,0
18:07:28,697,75,41,13,0
18:07:29,698,75,38,13,0
18:07:30,699,75,35,13,0
18:07:31,700,75,39,13,0
18:07:32,701,75,34,13,0
18:07:33,702,71,35,13,0
18:07:34,703,71,34,13,0
18:07:35,704,71,33,13,0
18:07:36,705,59,34,13,0
18:07:37,706,59,34,13,0
18:07:38,707,59,32,13,0
18:07:39,708,59,33,13,0
18:07:40,709,59,37,13,0
18:07:41,710,59,32,13,0
18:07:42,711,59,35,13,0
18:07:43,712,60,34,13,0
18:07:44,713,60,32,13,0
18:07:45,714,60,33,13,0
18:07:46,715,60,33,13,0
18:07:47,716,60,33,13,0
18:07:48,717,60,34,13,0
18:07:49,718,61,32,13,0
18:07:50,719,61,36,13,0
18:07:51,720,61,33,13,0
18:07:52,721,61,38,13,0
18:07:53,722,61,34,13,0
18:07:54,723,61,36,13,0
18:07:55,724,61,37,13,0
18:07:56,725,63,38,13,0
18:07:57,726,63,37,13,0
18:07:58,727,63,35,13,0
18:07:59,728,63,38,13,0
18:08:00,729,63,38,13,0
18:08:01,730,63,35,13,0
18:08:02,731,62,33,13,0
18:08:03,732,62,32,13,0
18:08:04,733,62,33,13,0
18:08:05,734,62,39,13,0
18:08:06,735,62,37,13,0
18:08:07,736,62,33,13,0
18:08:08,737,63,33,13,0
18:08:09,738,63,32,13,0
18:08:10,739,63,31,13,0
18:08:11,740,64,34,13,0
18:08:12,741,64,32,13,0
18:08:13,742,64,31,13,0
18:08:14,743,61,32,13,0
18:08:15,744,61,33,13,0
18:08:16,745,61,35,13,0
18:08:17,746,61,34,13,0
18:08:18,747,60,33,13,0
18:08:19,748,60,33,13,0
18:08:20,749,60,32,13,0
18:08:21,750,60,32,13,0
18:08:22,751,60,33,13,0
18:08:23,752,60,30,13,0
18:08:24,753,60,31,13,0
18:08:25,754,60,37,13,0
18:08:26,755,60,35,13,0
18:08:27,756,61,33,13,0
18:08:28,757,61,33,13,0
18:08:29,758,61,32,13,0
18:08:30,759,63,35,13,0
18:08:31,760,63,32,13,0
18:08:32,761,63,33,13,0
18:08:33,762,63,35,13,0
18:08:34,763,63,35,13,0
18:08:35,764,63,33,13,0
18:08:36,765,63,35,41,0
18:08:37,766,63,32,41,0
18:08:38,767,63,32,41,0
18:08:39,768,61,31,41,0
18:08:40,769,61,33,41,0
18:08:41,770,61,34,41,0
18:08:42,771,61,33,41,0
18:08:43,772,63,33,41,0
18:08:44,773,63,33,41,0
18:08:45,774,63,31,41,0
18:08:46,775,63,33,41,0
18:08:47,776,63,33,41,0
18:08:48,777,63,32,41,0
18:08:49,778,62,33,41,0
18:08:50,779,62,32,41,0
18:08:51,780,62,32,41,0
18:08:52,781,62,31,41,0
18:08:53,782,60,32,41,0
18:08:54,783,60,32,41,0
18:08:55,784,60,31,41,0
18:08:56,785,58,32,41,0
18:08:57,786,58,32,41,0
18:08:58,787,58,32,41,0
18:08:59,788,58,34,41,0
18:09:00,789,57,31,41,0
18:09:01,790,57,32,41,0
18:09:02,791,57,33,41,0
18:09:03,792,57,32,41,0
18:09:04,793,57,31,41,0
18:09:05,794,57,33,41,0
18:09:06,795,58,33,41,0
18:09:07,796,58,32,41,0
18:09:08,797,58,32,41,0
18:09:09,798,63,31,41,0
18:09:10,799,63,41,41,0
18:09:11,800,63,32,41,0
18:09:12,801,63,32,41,0
