HEART RATE DATE/TIME,VALUE
 11:25:16 PM,99
 11:25:19 PM,99
 11:25:20 PM,108
 11:25:23 PM,108
 11:25:26 PM,108
 11:25:29 PM,108
 11:25:30 PM,106
 11:25:33 PM,106
 11:25:36 PM,106
 11:25:39 PM,106
 11:25:40 PM,100
 11:25:43 PM,100
 11:25:46 PM,100
 11:25:49 PM,100
 11:25:50 PM,97
 11:25:53 PM,97
 11:25:56 PM,97
 11:25:59 PM,97
 11:26:00 PM,102
 11:26:03 PM,102
 11:26:10 PM,102
 11:26:13 PM,102
 11:26:16 PM,102
 11:26:19 PM,102
 11:26:20 PM,104
 11:26:23 PM,104
 11:26:26 PM,104
 11:26:29 PM,104
 11:26:30 PM,103
 11:26:33 PM,103
 11:26:36 PM,103
 11:26:39 PM,103
 11:26:40 PM,100
 11:26:43 PM,100
 11:26:46 PM,100
 11:26:49 PM,100
 11:26:50 PM,91
 11:26:53 PM,91
 11:26:56 PM,91
 11:26:59 PM,91
 11:27:00 PM,96
 11:27:03 PM,96
 11:27:06 PM,96
 11:27:09 PM,96
 11:27:12 PM,96
 11:27:15 PM,96
 11:27:20 PM,97
 11:27:23 PM,97
 11:27:26 PM,97
 11:27:29 PM,97
 11:27:30 PM,98
 11:27:33 PM,98
 11:27:36 PM,98
 11:27:39 PM,98
 11:27:42 PM,98
 11:27:45 PM,98
 11:27:48 PM,98
 11:27:50 PM,97
 11:27:53 PM,97
 11:27:56 PM,97
 11:27:59 PM,99
 11:28:00 PM,98
 11:28:03 PM,98
 11:28:06 PM,98
 11:28:09 PM,98
 11:28:12 PM,98
 11:28:15 PM,100
 11:28:16 PM,99
 11:28:18 PM,98
 11:28:20 PM,97
 11:28:22 PM,96
 11:28:25 PM,96
 11:28:28 PM,96
 11:28:30 PM,96
 11:28:33 PM,96
 11:28:36 PM,96
 11:28:39 PM,96
 11:28:42 PM,96
 11:28:45 PM,96
 11:28:48 PM,96
 11:28:50 PM,95
 11:28:53 PM,95
 11:28:56 PM,95
 11:28:59 PM,95
 11:29:00 PM,95
 11:29:03 PM,95
 11:29:06 PM,95
 11:29:09 PM,95
 11:29:10 PM,94
 11:29:13 PM,94
 11:29:16 PM,94
 11:29:19 PM,94
 11:29:20 PM,102
 11:29:23 PM,102
 11:29:26 PM,102
 11:29:29 PM,102
 11:29:30 PM,99
 11:29:33 PM,99
 11:29:34 PM,98
 11:29:35 PM,97
 11:29:36 PM,96
