Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention
17:56:58,67,70,39,45,0,4
17:56:59,68,70,37,45,0,4
17:57:00,69,69,38,45,0,4
17:57:01,70,69,42,45,0,4
17:57:02,71,69,48,45,0,4
17:57:03,72,69,57,45,0,4
17:57:04,73,69,56,45,0,4
17:57:05,74,69,54,45,0,4
17:57:06,75,69,52,45,0,4
17:57:07,76,69,50,45,0,4
17:57:08,77,69,53,45,0,4
17:57:09,78,69,49,45,0,4
17:57:10,79,68,50,45,0,4
17:57:11,80,68,51,50,0,4
17:57:12,81,68,49,50,0,4
17:57:13,82,68,49,50,0,4
17:57:14,83,68,49,50,0,4
17:57:15,84,68,53,50,0,4
17:57:16,85,68,56,50,0,4
17:57:17,86,68,55,50,0,4
17:57:18,87,68,50,50,0,4
17:57:19,88,68,55,50,0,4
17:57:20,89,68,52,50,0,4
17:57:21,90,68,53,50,0,4
17:57:22,91,68,49,50,0,4
17:57:23,92,68,52,51,0,4
17:57:24,93,68,50,51,0,4
17:57:25,94,68,49,51,0,4
17:57:26,95,68,55,51,0,4
17:57:27,96,68,51,51,0,4
17:57:28,97,68,52,51,0,4
17:57:29,98,68,54,51,0,4
17:57:30,99,68,39,51,0,4
17:57:31,100,68,36,51,0,4
17:57:32,101,68,34,51,0,4
17:57:33,102,68,35,51,0,4
17:57:34,103,68,35,51,0,4
17:57:35,104,68,60,51,0,4
17:57:36,105,68,59,51,0,4
17:57:37,106,68,53,51,0,4
17:57:38,107,68,51,51,0,4
17:57:39,108,68,49,51,0,4
17:57:40,109,68,47,51,0,4
17:57:41,110,68,49,51,0,4
17:57:42,111,68,44,51,0,4
17:57:43,112,68,43,51,0,4
17:57:44,113,68,45,51,0,4
17:57:45,114,68,49,51,0,4
17:57:46,115,68,40,51,0,4
17:57:47,116,68,45,51,0,4
17:57:48,117,68,37,51,0,4
17:57:49,118,68,41,51,0,4
17:57:50,119,67,41,51,0,4
17:57:51,120,67,47,51,0,4
17:57:52,121,67,45,51,0,4
17:57:53,122,67,39,51,0,4
17:57:54,123,66,44,51,0,4
17:57:55,124,66,38,51,0,4
17:57:56,125,66,43,51,0,4
17:57:57,126,67,49,51,0,4
17:57:58,127,67,48,51,0,4
17:57:59,128,67,43,51,0,4
17:58:00,129,67,43,51,0,4
17:58:01,130,67,44,51,0,4
17:58:02,131,67,38,51,0,4
17:58:03,132,67,42,51,0,4
17:58:04,133,67,44,51,0,4
17:58:05,134,67,48,51,0,4
17:58:06,135,67,40,51,0,4
17:58:07,136,67,45,51,0,4
17:58:08,137,67,42,51,0,4
17:58:09,138,67,45,51,0,4
17:58:10,139,68,45,51,0,4
17:58:11,140,68,43,51,0,4
17:58:12,141,67,43,51,0,4
17:58:13,142,67,36,51,0,4
17:58:14,143,67,41,51,0,4
17:58:15,144,67,38,51,0,4
17:58:16,145,67,35,51,0,4
17:58:17,146,67,41,51,0,4
17:58:18,147,67,35,51,0,4
17:58:19,148,67,38,51,0,4
17:58:20,149,67,43,51,0,4
17:58:21,150,67,41,51,0,4
17:58:22,151,67,40,51,0,4
17:58:23,152,67,38,51,0,4
17:58:24,153,67,41,51,0,4
17:58:25,154,67,40,51,0,4
17:58:26,155,67,41,51,0,4
17:58:27,156,67,37,51,0,4
17:58:28,157,67,44,51,0,4
17:58:29,158,68,42,51,0,4
17:58:30,159,67,45,51,0,4
17:58:31,160,67,54,51,0,4
17:58:32,161,67,44,51,0,4
17:58:33,162,67,40,51,0,4
17:58:34,163,67,54,51,0,4
17:58:35,164,66,52,51,0,4
17:58:36,165,66,47,51,0,4
17:58:37,166,66,52,51,0,4
17:58:38,167,66,49,51,0,4
17:58:39,168,66,54,51,0,4
17:58:40,169,65,52,51,0,4
