LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
0.0151,0.0262,0.0059,41.4216,2,34.604,14:53:55:940
-0.0144,0.0285,-0.0339,41.584,2,35.783,14:53:56:940
0.0394,0.0072,-0.0144,41.4132,2,44.05,14:53:57:938
-0.0169,0.032,-0.0454,41.4157,2,51.606,14:53:58:938
0.0359,0.0209,0.0267,41.582,2,49.252,14:53:59:938
0.0472,-0.003,-0.0557,42,2,47.826,14:54:00:938
0.0283,0.0019,0.0445,41.584,2,46.749,14:54:01:940
0.0011,-0.0038,-0.0734,41.5816,2,48.485,14:54:02:939
0.0367,-0.0515,0.0303,42.5848,2,49.222,14:54:03:941
0.0277,-0.0088,-0.0127,41.4118,2,47.18,14:54:04:938
0.0196,0.0205,-0.0742,41.5851,2,47.639,14:54:05:938
0.0193,-0.0142,-0.0147,41.5833,2,44.769,14:54:06:938
0.0388,0.0291,0.048,41.8425,2,46.603,14:54:07:938
0.0189,0.0076,0.0157,43,2,46.679,14:54:08:939
-8.00E-04,0.0601,0.1048,41.822,2,45.837,14:54:09:940
0.0291,-0.0056,0.017,42,2,49.538,14:54:10:938
0.0233,0.0328,-0.118,42.1571,2,54.466,14:54:11:937
0.0209,-0.0021,0.0209,41.8547,2,48.09,14:54:12:937
0.0304,-0.0045,-0.0294,42.4245,2,48.347,14:54:13:940
0.0274,0.0389,-0.0085,42.1675,2,52.309,14:54:14:939
0.0281,-0.0277,-0.0331,42,2,48.756,14:54:15:939
0.0104,0.018,-0.0628,41.8345,2,50.04,14:54:16:939
0.0097,-0.0149,0.0152,41.5841,2,46.41,14:54:17:939
-0.0107,0.0061,0.0256,41.5841,2,49.473,14:54:18:938
-0.0078,-0.022,0.1192,41.8367,2,47.554,14:54:19:939
-0.0057,0.0414,-0.0739,41.5777,2,47.225,14:54:20:939
0.0052,-0.0031,-0.0048,41.5843,2,50.476,14:54:21:939
0.0089,-0.0238,-0.0209,42,2,47.361,14:54:22:940
-0.001,0.0217,0.0489,41.6061,2,48.741,14:54:23:939
0.0026,-0.0367,0.0207,41,2,51.266,14:54:24:939
-0.0078,0.0432,-0.0092,41.8364,2,33.586,14:54:25:938
0.0025,-0.0112,0.0186,42.4038,2,31.976,14:54:26:939
0.0318,-0.0241,-0.0546,41.582,2,30.647,14:54:27:939
-0.052,-0.0023,0.0046,42,2,31.698,14:54:28:939
0.0316,-0.0081,-0.0552,41.8041,2,52.326,14:54:29:939
0.0608,-0.0158,-0.0854,42,2,54.028,14:54:30:939
-0.0181,-0.0273,0.0348,42.1662,2,55.537,14:54:31:939
0.0357,-0.0076,-0.0094,42,2,46.296,14:54:32:938
-0.0258,-0.0051,-0.0025,42,2,47.508,14:54:33:938
-0.002,0.015,-0.0085,41.836,2,44.659,14:54:34:939
-0.0137,0.0185,-0.0035,41.41,2,41.836,14:54:35:938
-0.0161,-0.0091,-0.0236,42.1774,2,45.108,14:54:36:940
-0.0248,0.0196,0.0577,42.4183,2,42.906,14:54:37:938
-0.0073,0.0011,0.0518,42.174,2,40.85,14:54:38:938
-0.0225,-0.0415,0.023,41.4178,2,43.141,14:54:39:941
-0.0082,-0.0393,0.0758,41.8356,2,46.34,14:54:40:939
0.0199,-0.0527,0.0245,41.5866,2,38.23,14:54:41:939
-0.0169,-0.0132,-0.0628,41.8394,2,38.246,14:54:42:939
0.0016,-0.0236,0.0169,42.5837,2,37.562,14:54:43:940
-0.0143,0.0312,-0.0152,42,2,37.223,14:54:44:939
-0.0288,-0.0189,-0.0232,42.5842,2,34.53,14:54:45:939
-0.0089,-0.0023,0.1326,41.8371,2,43.922,14:54:46:958
0.0096,-0.0474,-0.0196,42.167,2,42.408,14:54:47:939
0.0047,-0.0325,-0.0298,42,2,35.878,14:54:48:938
-0.0118,4.00E-04,-0.034,41.8371,2,38.446,14:54:49:938
-0.0165,-0.0514,6.00E-04,42,2,33.513,14:54:50:940
0.0052,0.0098,-0.0319,42,2,42.562,14:54:51:939
0.0082,-0.0134,-0.0393,41.4168,2,49.81,14:54:52:939
0.0217,-0.0262,-0.0059,41.4161,2,44.386,14:54:53:939
-0.0158,-0.0298,-0.0365,41.8271,2,42.872,14:54:54:939
0.0209,0.0281,0.0584,42,2,41.776,14:54:55:939
-0.005,-0.0251,0.0055,42,2,41.66,14:54:56:938
-0.0073,-0.0118,-0.0195,42.5844,2,32.832,14:54:57:939
-0.0029,0.0285,0.0052,41.393,2,39.211,14:54:58:938
-0.0495,0.0027,0.0288,41.5813,2,40.376,14:54:59:939
-5.00E-04,0.0474,-0.0725,41.8139,2,44.753,14:55:00:939
0.0051,-0.0105,-0.0487,41.5835,2,38.081,14:55:01:940
-0.0157,-0.0429,-4.00E-04,41,2,42.212,14:55:02:939
0.0289,-0.0145,0.0593,42.5903,2,35.64,14:55:03:939
-0.0194,-0.0115,0.0465,41.4167,2,40.326,14:55:04:938
-0.0024,0.0112,0.0441,41.8233,2,42.2,14:55:05:938
-0.0047,0.0257,-0.0364,41.4217,2,36.114,14:55:06:938
0.0178,-0.0414,-0.0871,42.2578,2,33.71,14:55:07:938
-0.036,0.0365,0.0459,41.4283,2,32.467,14:55:08:938
-0.0258,-0.0161,0.0239,41.5725,2,39.255,14:55:09:938
-0.0299,0.0048,0.016,41.4283,2,35.284,14:55:10:938
-0.006,0.0135,0.0344,42.1434,2,34.557,14:55:11:937
0.0172,-0.0223,0.005,42.158,2,35.445,14:55:12:938
0.0066,-0.0225,-0.0038,42.427,2,31.525,14:55:13:937
-0.0036,0.0449,0.0063,42.1653,2,32.005,14:55:14:937
-0.012,0.0145,0.0729,41.4285,2,37.857,14:55:15:938
-0.0341,0.0245,0.0269,42.5738,2,34.678,14:55:16:938
-0.048,0.0071,0.0121,41.4163,2,35.593,14:55:17:940
0.0079,0.0046,-0.0531,42.5816,2,32.324,14:55:18:938
0.0055,0.0134,-0.1072,42.1669,2,43.885,14:55:19:940
0.0265,0.0394,0.0196,42.4164,2,35.147,14:55:20:939
-0.0029,-0.0087,-0.0525,42.5891,2,35.719,14:55:21:938
-0.0178,-0.0212,0.0143,41,2,33.286,14:55:22:940
-0.0131,-0.0234,0.0368,42,2,41.112,14:55:23:938
-0.0444,-0.0375,0.0117,42.2019,2,44.055,14:55:24:941
0.0166,0.0048,0.0128,42,2,38.677,14:55:25:939
0.0052,-0.0139,0.0147,41.8331,2,50.496,14:55:26:939
0.0068,-0.0351,0.0484,42.2287,2,44.83,14:55:27:939
-0.003,0.0822,-0.0504,42,2,36.32,14:55:28:939
-0.0024,-0.0088,-0.0123,42.2149,2,48.662,14:55:29:939
0.0136,-0.0121,-0.0691,42.4035,2,48.138,14:55:30:941
0.0328,0.0201,-0.0336,41.8363,2,43.105,14:55:31:939
-0.0382,0.003,-0.0495,42.4177,2,41.032,14:55:32:938
0.0187,-0.0043,0.0033,42,2,40.799,14:55:33:939
-0.0106,0.0201,0.0402,42,2,49.965,14:55:34:938
