LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (i),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
0.0308,-0.0238,-0.0253,52.1452,2,70.341,15:54:54:875
0.0375,0.0082,0.0947,53,2,74.536,15:54:55:874
-0.0135,-0.0167,-0.0536,52.1484,2,72.728,15:54:56:877
0.0347,0.0025,-0.1169,52.5803,2,68.309,15:54:57:875
-0.035,0.011,-0.0152,53.1411,2,71.161,15:54:58:883
0.0236,-0.0035,0.0212,52.5803,2,69.113,15:54:59:875
0.0011,-0.0171,0.0584,52.3002,2,69.752,15:55:00:877
0.0048,0.0076,-0.0139,52.4335,2,63.49,15:55:01:875
0.0162,0.004,-0.036,52.4336,2,67.602,15:55:02:875
-0.0049,0.0698,0.0032,52.5853,2,65.101,15:55:03:874
-0.0292,-0.0335,0.0174,53.5662,2,66.13,15:55:04:876
0.0281,0.0105,-0.1307,53.1611,2,72.741,15:55:05:884
-0.0083,0.0246,0.0035,53.145,2,68.43,15:55:06:875
0.0068,0.0249,0.0351,52.8496,2,66.58,15:55:07:875
-0.0188,0.027,0.0491,52.8417,2,69.629,15:55:08:876
0.0158,0.0131,0.0564,53.1626,2,47.093,15:55:09:876
0.0089,-0.0186,0.0029,53,2,21.293,15:55:10:875
0.0257,0.0042,4.00E-04,52.8608,2,25.877,15:55:11:875
0.0052,0.0548,0.0038,53.5718,2,15.355,15:55:12:876
0.0141,-0.0195,-0.012,52.8642,2,70.566,15:55:13:876
-0.0191,-0.006,-0.0096,53.5802,2,75.55,15:55:14:875
-0.006,0.0168,-0.0061,53.1368,2,73.889,15:55:15:875
-0.0121,-0.0187,0.1144,52.5662,2,63.668,15:55:16:877
0.0029,0.0269,-0.0288,52.8634,2,67.746,15:55:17:876
0.0425,0.0072,0.0624,52.5745,2,63.605,15:55:18:875
