LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0272,0.0086,-0.0191,84.61,5,1007.57,28.2,51.473,155033,23:11:15:663
-0.0206,-0.0143,-0.0359,84.61,5,1007.57,28.2,51.092,156032,23:11:16:662
0.0126,0.0034,-0.0432,84.61,5,1007.56,28.2,50.819,157032,23:11:17:662
-0.0026,-0.0165,0.0025,84.61,5,1007.58,28.2,49.458,158032,23:11:18:662
0.0155,-0.0321,0.0079,84.61,5,1007.66,28.2,50.455,159033,23:11:19:663
-0.025,-0.0289,0.0315,84.61,5,1007.68,28.2,45.993,160032,23:11:20:662
0.015,-0.0124,0.0258,84.61,5,1007.87,28.2,44.126,161032,23:11:21:662
0.0135,0.0307,0.0721,84.61,5,1007.82,28.2,44.948,162033,23:11:22:663
0.0616,0.0184,0.0158,84.61,5,1007.77,28.3,48.387,163033,23:11:23:663
0.0063,0.011,-0.0301,84.61,5,1007.7,28.2,44.524,164032,23:11:24:662
0.0818,-0.0438,-0.0468,84.61,5,1007.7,28.2,46.713,165032,23:11:25:662
0.0017,0.0539,0.0379,84.61,5,1007.67,28.2,44.677,166033,23:11:26:663
0.0427,-0.0364,-0.0043,84.61,5,1007.64,28.2,44.709,167032,23:11:27:662
-0.0073,-0.0047,0.019,84.61,5,1007.61,28.2,40.759,168033,23:11:28:663
-0.002,-0.0118,0.104,84.61,5,1007.63,28.2,51.61,169032,23:11:29:662
0.0188,-0.0232,-0.0423,84.61,5,1007.6,28.2,47.883,170033,23:11:30:663
0.0212,-0.0116,-0.0449,84.61,5,1007.59,28.2,38.986,171032,23:11:31:662
-0.003,-0.038,0.0282,84.61,5,1007.63,28.2,45.031,172033,23:11:32:663
0.0132,0.0383,0.0203,84.61,5,1007.59,28.2,44.632,173032,23:11:33:662
0.0196,-0.0155,-0.0056,84.61,5,1007.61,28.2,46.9,174033,23:11:34:663
0.0265,-0.03,-0.0059,84.61,5,1007.62,28.2,50.683,175032,23:11:35:662
-0.0068,-0.014,0.0307,84.61,5,1007.61,28.1,49.305,176032,23:11:36:662
-0.0104,0.0267,-0.0186,84.61,5,1007.62,28.1,46.324,177033,23:11:37:663
-0.0548,-0.0101,-0.0393,84.61,5,1007.63,28.1,45.37,178033,23:11:38:663
-0.0309,-0.0506,-0.0528,84.61,5,1007.62,28.1,46.399,179032,23:11:39:662
0.0228,0.0336,-0.0044,84.61,5,1007.63,28.1,33.716,180032,23:11:40:662
0.026,-0.0177,-0.0631,84.61,5,1007.65,28.1,42.687,181032,23:11:41:662
-0.001,-0.025,-0.0143,84.61,5,1007.65,28.1,48.775,182032,23:11:42:662
0.0445,-0.0202,0.0602,84.61,5,1007.67,28.1,50.464,183032,23:11:43:662
0.0277,0.0185,-0.0324,84.61,5,1007.66,28.1,40.16,184032,23:11:44:662
0.0311,-0.0612,-0.0458,84.61,5,1007.69,28.1,45.697,185033,23:11:45:663
