LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.029,0.0087,0.0167,42.45,5,1014.4,29.3,0,135009,17:22:49:228
0.0122,0.0067,-0.0709,42.45,5,1014.42,29.3,0,136010,17:22:50:229
0.0528,0.0146,0.0747,42.45,5,1014.42,29.3,0,137009,17:22:51:228
-0.0164,0.0279,-0.0179,42.45,5,1014.41,29.3,0,138009,17:22:52:228
-0.0456,0.0113,-0.0984,42.45,5,1014.41,29.3,0,139009,17:22:53:228
0.0676,-0.015,-0.0294,42.45,5,1014.4,29.3,0,140009,17:22:54:228
0.0133,-0.039,0.0565,42.45,5,1014.41,29.3,0,141009,17:22:55:228
-0.0127,0.0223,-0.0105,42.45,5,1014.41,29.3,0,142010,17:22:56:229
-0.0036,0.0252,0.0293,42.45,5,1014.41,29.3,0,143009,17:22:57:228
-0.0379,0.0157,-0.02,42.45,5,1014.41,29.3,0,144009,17:22:58:228
0.0203,-0.0034,-0.0177,42.45,5,1014.41,29.3,0,145009,17:22:59:228
-0.0217,-0.0263,-0.0534,42.45,5,1014.39,29.3,0,146009,17:23:00:228
0.0077,-0.0372,-0.004,42.45,5,1014.43,29.2,0,147009,17:23:01:228
-0.0212,-0.018,0.0055,42.45,5,1014.45,29.2,0,148009,17:23:02:228
0.0098,-0.0128,0.0181,42.45,5,1014.44,29.2,0,149010,17:23:03:229
-0.0272,0.0195,0.066,42.45,5,1014.43,29.2,0,150009,17:23:04:228
-0.0647,-0.0322,6.00E-04,42.45,5,1014.45,29.2,0,151009,17:23:05:228
-0.013,-0.0333,-0.0176,42.45,5,1014.46,29.2,0,152009,17:23:06:228
0.023,-0.0218,0.0024,42.45,5,1014.43,29.2,0,153009,17:23:07:228
0.0149,0.0167,0.0032,42.45,5,1014.47,29.2,0,154010,17:23:08:229
-0.0358,-0.0048,-0.0656,42.45,5,1014.46,29.2,0,155009,17:23:09:228
-0.0159,0.0164,-0.0188,42.45,5,1014.46,29.2,0,156009,17:23:10:228
0.0119,0.0054,-0.0436,42.45,5,1014.45,29.2,0,157013,17:23:11:232
0.0142,0.0438,0.0897,42.45,5,1014.45,29.2,0,158008,17:23:12:227
0.0039,0.0326,0.0528,42.45,5,1014.49,29.2,0,159010,17:23:13:229
0.0109,-0.0147,0.0868,42.45,5,1014.47,29.2,0,160009,17:23:14:228
-0.0187,-0.0019,-0.0362,42.45,5,1014.48,29.2,0,161009,17:23:15:228
0.0138,2.00E-04,-0.0459,42.45,5,1014.49,29.2,0,162009,17:23:16:228
0.0658,-0.0417,0.0312,42.45,5,1014.48,29.2,0,163010,17:23:17:229
0.0129,0.0307,-0.0279,42.45,5,1014.49,29.2,0,164009,17:23:18:228
0.0528,0.0357,-0.0093,42.45,5,1014.47,29.2,0,165009,17:23:19:228
0.0347,0.0131,0.1062,42.45,5,1014.49,29.1,0,166010,17:23:20:229
0.0626,0.0206,0.0085,42.45,5,1014.48,29.2,0,167009,17:23:21:228
0.0015,0.0107,0.0214,42.45,5,1014.48,29.1,0,168009,17:23:22:228
-0.0032,0.0072,-2.00E-04,42.45,5,1014.48,29.1,0,169010,17:23:23:229
0.0064,0.0269,-0.0276,42.45,5,1014.5,29.1,0,170009,17:23:24:228
-0.0122,-0.0127,-0.0227,42.45,5,1014.47,29.1,0,171009,17:23:25:228
0.0112,0.0462,0.0093,42.45,5,1014.47,29.1,0,172009,17:23:26:228
0.044,7.00E-04,0.0497,42.45,5,1014.46,29.1,0,173009,17:23:27:228
-0.032,-0.0455,-0.0287,42.45,5,1014.49,29.1,0,174009,17:23:28:228
-0.047,0.0269,-0.0225,42.45,5,1014.46,29.1,0,175009,17:23:29:228
-0.0082,0.0289,0.0634,42.45,5,1014.46,29.1,0,176010,17:23:30:229
0.0021,-0.0109,0.0213,42.45,5,1014.48,29.1,0,177009,17:23:31:228
-0.0205,-0.0158,0.0787,42.45,5,1014.6,29.1,0,178009,17:23:32:228
0.0228,0.007,0.0218,42.45,5,1014.8,29.1,0,179009,17:23:33:228
-0.0136,0.0102,0.0122,42.45,5,1014.81,29.1,0,180009,17:23:34:228
-0.0437,-0.0088,0.0272,42.45,5,1014.74,29.2,0,181009,17:23:35:228
0.0915,-0.0043,-0.0545,42.45,5,1014.66,29.2,0,182008,17:23:36:227
0.0107,-0.0037,0.0126,42.45,5,1014.61,29.2,0,183009,17:23:37:228
0.0176,-0.0198,-0.0383,42.45,5,1014.56,29.2,0,184009,17:23:38:228
0.0492,0.0465,0.0654,42.45,5,1014.55,29.2,0,185009,17:23:39:228
0.0781,0.0039,-0.0136,42.45,5,1014.58,29.2,0,186009,17:23:40:228
-0.0205,0.0475,0.0382,42.45,5,1014.58,29.1,0,187009,17:23:41:228
0.0061,0.0108,-0.0181,42.45,5,1014.55,29.1,0,188009,17:23:42:228
0.0339,-0.0154,0.0122,42.45,5,1014.55,29.1,0,189009,17:23:43:228
0.0571,-0.0255,0.0217,42.45,5,1014.82,29.1,0,190009,17:23:44:228
0.0147,0.0028,-0.0012,42.45,5,1014.8,29.2,0,191009,17:23:45:228
-0.0191,-0.011,0.0099,42.45,5,1014.74,29.2,0,192009,17:23:46:228
0.0184,-0.0131,0.0308,42.45,5,1014.69,29.2,0,193009,17:23:47:228
0.0384,0.0055,0.0296,42.45,5,1014.62,29.2,0,194008,17:23:48:227
-0.0232,-0.0348,-0.0107,42.45,5,1014.58,29.2,0,195010,17:23:49:229
0.0043,-0.0252,0.1053,42.45,5,1014.54,29.2,0,196009,17:23:50:228
-0.0141,-0.0166,-0.0088,42.45,5,1014.51,29.2,0,197009,17:23:51:228
-0.0471,-0.0188,0.0245,42.45,5,1014.51,29.2,0,198009,17:23:52:228
-0.0049,-0.0214,-0.0318,42.45,5,1014.49,29.2,0,199009,17:23:53:228
0.0208,0.048,-0.0404,42.45,5,1014.48,29.2,0,200010,17:23:54:229
-0.0297,0.008,-0.0477,42.45,5,1014.49,29.1,0,201009,17:23:55:228
0.0417,-0.0289,0.0066,42.45,5,1014.45,29.1,0,202010,17:23:56:229
0.0226,-0.0286,-0.0231,42.45,5,1014.44,29.1,0,203009,17:23:57:228
-0.0175,0.0196,-0.0529,42.45,5,1014.43,29.1,0,204009,17:23:58:228
0.0033,0.0291,0.0247,42.45,5,1014.47,29.1,0,205009,17:23:59:228
-0.034,0.0367,-0.0256,42.45,5,1014.45,29.1,0,206009,17:24:00:228
0.0168,0.0286,-0.0254,42.45,5,1014.43,29.1,0,207009,17:24:01:228
-0.0024,0.0202,0.052,42.45,5,1014.43,29.1,0,208009,17:24:02:228
-0.0334,-0.0107,0.104,42.45,5,1014.41,29.1,0,209009,17:24:03:228
0.0054,-0.0215,0.0292,42.45,5,1014.44,29.1,0,210009,17:24:04:228
0.051,-0.0039,0.0659,42.45,5,1014.45,29.1,0,211008,17:24:05:227
0.055,0.0103,-0.0379,42.45,5,1014.44,29.1,0,212009,17:24:06:228
-0.0192,0.0023,-0.0272,42.45,5,1014.48,29.1,0,213009,17:24:07:228
0.0013,-0.0577,-0.1178,42.45,5,1014.48,29,0,214009,17:24:08:228
-0.0277,0.0319,0.0014,42.45,5,1014.46,29,0,215009,17:24:09:228
-0.0179,-0.0151,-0.011,42.45,5,1014.48,29,0,216009,17:24:10:228
-0.0348,0.0339,-0.0348,42.45,5,1014.47,29,0,217009,17:24:11:228
0.0298,-0.0042,0.0374,42.45,5,1014.49,29,0,218009,17:24:12:228
-0.0303,-3.00E-04,0.0542,42.45,5,1014.5,29,0,219009,17:24:13:228
0.0253,-0.0475,-0.0122,42.45,5,1014.48,29,0,220009,17:24:14:228
-0.0215,0.0074,-0.014,42.45,5,1014.47,29,0,221009,17:24:15:228
-0.0307,0.0068,0.0485,42.45,5,1014.45,29,0,222009,17:24:16:228
0.0098,-0.0277,-0.0282,42.45,5,1014.44,29,0,223009,17:24:17:228
0.0229,0.021,-0.0033,42.45,5,1014.45,29,0,224009,17:24:18:228
-0.0068,-0.0711,-0.0602,42.45,5,1014.45,29,0,225009,17:24:19:228
0.0357,-0.0472,-0.0143,42.45,5,1014.45,29,0,226009,17:24:20:228
-0.0156,-0.0408,-0.0273,42.45,5,1014.47,29,0,227009,17:24:21:228
-4.00E-04,-0.0025,-0.0635,42.45,5,1014.5,29,0,228009,17:24:22:228
-0.0244,-0.0066,-0.0432,42.45,5,1014.5,29,0,229009,17:24:23:228
0.0374,-0.0268,-0.018,42.45,5,1014.54,29,0,230009,17:24:24:228
-0.0583,0.0246,-0.0593,42.45,5,1014.54,29,0,231013,17:24:25:232
-0.0107,-0.0527,-0.1236,42.45,5,1014.55,29,0,232009,17:24:26:228
-0.0602,-0.0119,0.0513,42.45,5,1014.53,29,0,233008,17:24:27:227
0.0386,0.0063,0.0607,42.45,5,1014.53,29,0,234010,17:24:28:229
-0.0148,0.0044,0.0439,42.45,5,1014.51,29,0,235009,17:24:29:228
0.0145,-0.0675,0.0463,42.45,5,1014.48,29,0,236009,17:24:30:228
-0.0019,-0.0198,-0.0063,42.45,5,1014.52,29,0,237010,17:24:31:229
0.0322,-0.027,-0.0134,42.45,5,1014.5,29,0,238009,17:24:32:228
0.0137,0.0351,0.0168,42.45,5,1014.47,28.9,0,239009,17:24:33:228
-0.0104,-0.0134,0.0111,42.45,5,1014.47,28.9,0,240010,17:24:34:229
-0.0406,0.0041,-0.0909,42.45,5,1014.5,28.9,0,241009,17:24:35:228
-4.00E-04,-0.0366,-0.0505,42.45,5,1014.52,28.9,0,242010,17:24:36:229
-0.0126,0.0443,1.00E-04,42.45,5,1014.49,28.9,0,243009,17:24:37:228
0.0206,0.0253,0.0348,42.45,5,1014.48,28.9,0,244009,17:24:38:228
-0.0322,0.0074,-0.0867,42.45,5,1014.5,28.9,0,245010,17:24:39:229
-0.0406,0.0046,0.0315,42.45,5,1014.51,28.9,0,246009,17:24:40:228
-5.00E-04,0.0175,0.0234,42.45,5,1014.53,28.9,0,247009,17:24:41:228
-0.0249,0.0503,0.0195,42.45,5,1014.52,28.9,0,248009,17:24:42:228
-0.0585,-0.0454,-0.1123,42.45,5,1014.53,28.9,0,249009,17:24:43:228
-0.0409,-0.0073,-0.0178,42.45,5,1014.55,28.9,0,250009,17:24:44:228
0.0019,0.0017,-0.0498,42.45,5,1014.5,28.9,0,251008,17:24:45:227
-0.001,0.0316,-0.0216,42.45,5,1014.52,28.9,0,252010,17:24:46:229
-0.0212,-0.008,-0.0405,42.45,5,1014.5,28.9,0,253009,17:24:47:228
0.0248,0.0104,-0.0291,42.45,5,1014.48,28.9,0,254009,17:24:48:228
0.0445,0.0116,0.0153,42.45,5,1014.47,28.9,0,255009,17:24:49:228
0.0549,0.0547,-0.0179,42.45,5,1014.51,28.9,0,256009,17:24:50:228
-0.0312,-0.0168,0.0502,42.45,5,1014.5,28.9,0,257010,17:24:51:229
0.0038,0.047,-0.031,42.45,5,1014.51,28.9,0,258009,17:24:52:228
-0.0516,0.041,-0.0548,42.45,5,1014.49,28.9,0,259009,17:24:53:228
0.0053,-0.0262,-0.022,42.45,5,1014.46,28.9,0,260009,17:24:54:228
0.0198,0.016,-0.0017,42.45,5,1014.5,28.9,0,261009,17:24:55:228
-0.0351,0.0234,0.038,42.45,5,1014.48,28.9,0,262009,17:24:56:228
-0.0213,-0.0112,0.0628,42.45,5,1014.48,28.8,0,263009,17:24:57:228
0.0415,-0.0207,-0.0878,42.45,5,1014.47,28.8,0,264009,17:24:58:228
0.0215,0.0056,0.0152,42.45,5,1014.46,28.8,0,265009,17:24:59:228
0.0371,0.025,-0.0385,42.45,5,1014.5,28.8,0,266009,17:25:00:228
-0.0123,0.0264,-0.0043,42.45,5,1014.49,28.8,0,267009,17:25:01:228
-0.035,0.0103,0.046,42.45,5,1014.47,28.8,0,268010,17:25:02:229
-0.0385,0.0158,0.0122,42.45,5,1014.48,28.8,0,269009,17:25:03:228
